* 통계표명 :,평균전세가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2023.07.17 16:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
,,군포시,,279921,279035,278596,277930,277351,277123,276526,275895,275982,276158,276105,275596,279809,278945,276827,272955,268845,266464,263809,263536,264282,266200,267073,269400,270250,271973,273357,274375,275089,276107,277527,279366,280768,282232,284429,287018,289179,291429,292750,294518,295143,297196,350317,356550,362183,367304,370974,372857
,,의왕시,,318663,318538,318538,318413,318163,318038,317288,316550,316775,317263,317225,316675,320474,314654,301949,286256,276744,273513,273256,278244,286321,292346,296449,300808,312388,313931,316381,317594,318375,319425,322113,326425,332000,338038,342338,346613,351375,360313,367225,370413,371588,372600,452185,459196,465357,469443,469914,469057
,경부2권,,,262712,262058,261546,261030,260224,258586,257588,256698,256135,256034,255409,254401,260884,259957,258800,255933,253979,252403,251084,250975,251128,252197,254246,256917,269327,274826,278492,279879,281444,285386,289120,293735,299612,303593,307313,311299,315213,318711,320363,321081,322106,324251,397078,400711,403668,407332,409683,410756
,,안성시,,109463,107146,106585,105720,103220,98354,97744,96744,96098,95963,95110,93988,101370,101280,101025,100505,100120,99710,99300,98500,98190,97985,97955,97965,101877,101901,101976,101986,101906,101939,102212,102660,104453,105330,106151,107368,108811,109679,110840,111660,112896,114401,148918,151457,152952,156261,158625,160128
,,용인시,,298349,298242,297483,296509,295297,292798,290968,289802,289009,289153,288616,287651,290614,289363,287771,284484,281962,279937,278189,278089,278280,279271,281665,284779,292626,298617,302789,303360,305180,309797,314521,320286,328381,332055,336750,341257,345902,350017,351752,352391,353457,355774,461286,465539,468723,472412,475320,477162
,,,처인구,135278,134417,134222,134028,133083,132764,132486,130667,130361,130222,130153,129972,140988,140763,140463,140063,139638,139488,139413,139563,139588,139663,139838,139850,144796,145245,145449,145673,145755,147184,148327,150000,152857,154480,155765,156765,158357,160898,162694,163378,163816,164276,244015,245936,248041,250412,252699,253449
,,,기흥구,273279,273125,272037,270912,269228,265706,262221,260000,257191,257081,256081,255404,256092,254592,253183,250225,247993,246317,245162,244930,244831,246380,248324,250549,263534,268986,271952,273027,275712,281377,288849,294596,301322,304678,309062,314205,320370,325356,327993,328856,330404,333781,449045,453914,457240,460439,463033,463178
,,,수지구,368154,368301,367721,366684,365875,363809,363221,363294,364397,364875,364676,363206,369529,368236,366079,361614,358186,355257,352414,352379,352914,353600,357100,362029,378824,387472,394401,394577,396155,400887,404106,411437,422937,427718,434028,439197,443415,447218,447993,448380,449183,451099,586752,591588,595187,600062,603616,607761
,,수원시,,251710,250780,250514,250497,250345,250041,249789,249185,248856,248523,247849,246816,253708,252980,252121,249342,247724,246423,245395,245370,245549,246864,248861,251462,270122,275920,279597,282010,283557,287384,290619,294677,298905,303648,306803,310666,314201,317456,319095,319878,320832,322896,382860,386116,389131,392837,394667,394947
,,,장안구,241618,240314,239706,239608,239382,239010,238892,238765,238343,238304,237951,237824,240192,239712,238808,236894,236029,234808,233904,233548,233798,234769,235135,235466,251188,253063,254851,257457,258063,259957,261966,262918,264130,266120,268976,271154,272856,274106,275163,275567,275856,278125,346755,349691,350396,353585,355562,356331
